Source,CH1
Second,Volt
-0.02724800000,-7.60000,
-0.02724400000,-7.60000,
-0.02724000000,-7.60000,
-0.02723600000,-7.60000,
-0.02723200000,-8.00000,
-0.02722800000,-7.60000,
-0.02722400000,-7.60000,
-0.02722000000,-8.00000,
-0.02721600000,-8.00000,
-0.02721200000,-8.00000,
-0.02720800000,-8.00000,
-0.02720400000,-8.00000,
-0.02720000000,-8.00000,
-0.02719600000,-8.00000,
-0.02719200000,-8.00000,
-0.02718800000,-8.00000,
-0.02718400000,-8.00000,
-0.02718000000,-8.00000,
-0.02717600000,-8.00000,
-0.02717200000,-8.00000,
-0.02716800000,-8.00000,
-0.02716400000,-8.00000,
-0.02716000000,-8.40000,
-0.02715600000,-8.00000,
-0.02715200000,-8.40000,
-0.02714800000,-8.40000,
-0.02714400000,-8.40000,
-0.02714000000,-8.40000,
-0.02713600000,-8.40000,
-0.02713200000,-8.40000,
-0.02712800000,-8.40000,
-0.02712400000,-8.80000,
-0.02712000000,-8.80000,
-0.02711600000,-8.40000,
-0.02711200000,-8.80000,
-0.02710800000,-8.80000,
-0.02710400000,-8.80000,
-0.02710000000,-8.80000,
-0.02709600000,-8.80000,
-0.02709200000,-8.80000,
-0.02708800000,-8.80000,
-0.02708400000,-8.40000,
-0.02708000000,-8.80000,
-0.02707600000,-8.80000,
-0.02707200000,-8.80000,
-0.02706800000,-8.80000,
-0.02706400000,-8.80000,
-0.02706000000,-8.80000,
-0.02705600000,-8.80000,
-0.02705200000,-8.80000,
-0.02704800000,-9.20000,
-0.02704400000,-9.20000,
-0.02704000000,-8.80000,
-0.02703600000,-8.80000,
-0.02703200000,-8.80000,
-0.02702800000,-9.20000,
-0.02702400000,-9.20000,
-0.02702000000,-9.60000,
-0.02701600000,-9.20000,
-0.02701200000,-9.20000,
-0.02700800000,-9.20000,
-0.02700400000,-9.60000,
-0.02700000000,-9.60000,
-0.02699600000,-9.60000,
-0.02699200000,-9.60000,
-0.02698800000,-9.60000,
-0.02698400000,-9.20000,
-0.02698000000,-9.60000,
-0.02697600000,-9.60000,
-0.02697200000,-9.60000,
-0.02696800000,-9.60000,
-0.02696400000,-9.60000,
-0.02696000000,-9.60000,
-0.02695600000,-9.60000,
-0.02695200000,-9.60000,
-0.02694800000,-9.60000,
-0.02694400000,-9.60000,
-0.02694000000,-9.60000,
-0.02693600000,-9.60000,
-0.02693200000,-10.00000,
-0.02692800000,-10.00000,
-0.02692400000,-10.00000,
-0.02692000000,-10.00000,
-0.02691600000,-10.00000,
-0.02691200000,-10.00000,
-0.02690800000,-9.60000,
-0.02690400000,-10.00000,
-0.02690000000,-10.00000,
-0.02689600000,-10.00000,
-0.02689200000,-10.40000,
-0.02688800000,-10.00000,
-0.02688400000,-10.40000,
-0.02688000000,-10.40000,
-0.02687600000,-10.40000,
-0.02687200000,-10.40000,
-0.02686800000,-10.40000,
-0.02686400000,-10.40000,
-0.02686000000,-10.40000,
-0.02685600000,-10.40000,
-0.02685200000,-10.40000,
-0.02684800000,-10.40000,
-0.02684400000,-10.40000,
-0.02684000000,-10.40000,
-0.02683600000,-10.40000,
-0.02683200000,-10.40000,
-0.02682800000,-10.40000,
-0.02682400000,-10.40000,
-0.02682000000,-10.80000,
-0.02681600000,-10.40000,
-0.02681200000,-10.40000,
-0.02680800000,-10.80000,
-0.02680400000,-10.40000,
-0.02680000000,-10.40000,
-0.02679600000,-10.80000,
-0.02679200000,-10.40000,
-0.02678800000,-10.40000,
-0.02678400000,-10.80000,
-0.02678000000,-10.80000,
-0.02677600000,-10.80000,
-0.02677200000,-10.80000,
-0.02676800000,-10.80000,
-0.02676400000,-10.80000,
-0.02676000000,-10.80000,
-0.02675600000,-11.20000,
-0.02675200000,-10.80000,
-0.02674800000,-11.20000,
-0.02674400000,-11.20000,
-0.02674000000,-11.20000,
-0.02673600000,-11.20000,
-0.02673200000,-11.20000,
-0.02672800000,-11.20000,
-0.02672400000,-11.20000,
-0.02672000000,-11.20000,
-0.02671600000,-11.20000,
-0.02671200000,-11.20000,
-0.02670800000,-11.20000,
-0.02670400000,-11.20000,
-0.02670000000,-11.20000,
-0.02669600000,-11.20000,
-0.02669200000,-11.20000,
-0.02668800000,-11.20000,
-0.02668400000,-11.20000,
-0.02668000000,-11.20000,
-0.02667600000,-11.20000,
-0.02667200000,-11.20000,
-0.02666800000,-11.20000,
-0.02666400000,-11.60000,
-0.02666000000,-11.20000,
-0.02665600000,-11.20000,
-0.02665200000,-11.60000,
-0.02664800000,-11.60000,
-0.02664400000,-11.60000,
-0.02664000000,-11.60000,
-0.02663600000,-11.60000,
-0.02663200000,-11.60000,
-0.02662800000,-11.60000,
-0.02662400000,-12.00000,
-0.02662000000,-11.60000,
-0.02661600000,-11.60000,
-0.02661200000,-12.00000,
-0.02660800000,-11.60000,
-0.02660400000,-12.00000,
-0.02660000000,-12.00000,
-0.02659600000,-12.00000,
-0.02659200000,-12.00000,
-0.02658800000,-12.00000,
-0.02658400000,-12.00000,
-0.02658000000,-12.00000,
-0.02657600000,-12.00000,
-0.02657200000,-12.00000,
-0.02656800000,-12.00000,
-0.02656400000,-12.00000,
-0.02656000000,-12.00000,
-0.02655600000,-12.00000,
-0.02655200000,-12.00000,
-0.02654800000,-12.00000,
-0.02654400000,-12.00000,
-0.02654000000,-12.00000,
-0.02653600000,-12.40000,
-0.02653200000,-12.00000,
-0.02652800000,-12.40000,
-0.02652400000,-12.40000,
-0.02652000000,-12.00000,
-0.02651600000,-12.40000,
-0.02651200000,-12.40000,
-0.02650800000,-12.00000,
-0.02650400000,-12.40000,
-0.02650000000,-12.40000,
-0.02649600000,-12.40000,
-0.02649200000,-12.40000,
-0.02648800000,-12.00000,
-0.02648400000,-12.40000,
-0.02648000000,-12.80000,
-0.02647600000,-12.40000,
-0.02647200000,-12.80000,
-0.02646800000,-12.40000,
-0.02646400000,-12.80000,
-0.02646000000,-12.80000,
-0.02645600000,-12.80000,
-0.02645200000,-12.80000,
-0.02644800000,-12.80000,
-0.02644400000,-12.80000,
-0.02644000000,-12.80000,
-0.02643600000,-12.80000,
-0.02643200000,-12.80000,
-0.02642800000,-12.80000,
-0.02642400000,-12.80000,
-0.02642000000,-12.80000,
-0.02641600000,-12.80000,
-0.02641200000,-12.80000,
-0.02640800000,-12.80000,
-0.02640400000,-12.80000,
-0.02640000000,-13.20000,
-0.02639600000,-12.80000,
-0.02639200000,-12.80000,
-0.02638800000,-12.80000,
-0.02638400000,-13.60000,
-0.02638000000,-13.60000,
-0.02637600000,-13.20000,
-0.02637200000,-13.60000,
-0.02636800000,-13.20000,
-0.02636400000,-13.20000,
-0.02636000000,-13.20000,
-0.02635600000,-13.60000,
-0.02635200000,-13.60000,
-0.02634800000,-13.60000,
-0.02634400000,-13.60000,
-0.02634000000,-13.20000,
-0.02633600000,-13.60000,
-0.02633200000,-13.60000,
-0.02632800000,-13.60000,
-0.02632400000,-13.60000,
-0.02632000000,-13.60000,
-0.02631600000,-13.60000,
-0.02631200000,-13.60000,
-0.02630800000,-13.60000,
-0.02630400000,-13.60000,
-0.02630000000,-13.60000,
-0.02629600000,-13.60000,
-0.02629200000,-13.60000,
