Source,CH1
Second,Volt
-0.02934000000,92.00000,
-0.02933600000,92.00000,
-0.02933200000,92.00000,
-0.02932800000,92.00000,
-0.02932400000,92.00000,
-0.02932000000,92.00000,
-0.02931600000,92.00000,
-0.02931200000,92.00000,
-0.02930800000,92.00000,
-0.02930400000,90.00000,
-0.02930000000,90.00000,
-0.02929600000,88.00000,
-0.02929200000,88.00000,
-0.02928800000,88.00000,
-0.02928400000,88.00000,
-0.02928000000,88.00000,
-0.02927600000,88.00000,
-0.02927200000,88.00000,
-0.02926800000,88.00000,
-0.02926400000,88.00000,
-0.02926000000,86.00000,
-0.02925600000,86.00000,
-0.02925200000,86.00000,
-0.02924800000,86.00000,
-0.02924400000,86.00000,
-0.02924000000,86.00000,
-0.02923600000,86.00000,
-0.02923200000,86.00000,
-0.02922800000,86.00000,
-0.02922400000,86.00000,
-0.02922000000,86.00000,
-0.02921600000,86.00000,
-0.02921200000,86.00000,
-0.02920800000,84.00000,
-0.02920400000,84.00000,
-0.02920000000,86.00000,
-0.02919600000,84.00000,
-0.02919200000,84.00000,
-0.02918800000,84.00000,
-0.02918400000,82.00000,
-0.02918000000,82.00000,
-0.02917600000,82.00000,
-0.02917200000,82.00000,
-0.02916800000,82.00000,
-0.02916400000,82.00000,
-0.02916000000,82.00000,
-0.02915600000,80.00000,
-0.02915200000,82.00000,
-0.02914800000,82.00000,
-0.02914400000,80.00000,
-0.02914000000,80.00000,
-0.02913600000,80.00000,
-0.02913200000,80.00000,
-0.02912800000,78.00000,
-0.02912400000,78.00000,
-0.02912000000,78.00000,
-0.02911600000,78.00000,
-0.02911200000,78.00000,
-0.02910800000,78.00000,
-0.02910400000,78.00000,
-0.02910000000,76.00000,
-0.02909600000,76.00000,
-0.02909200000,76.00000,
-0.02908800000,76.00000,
-0.02908400000,74.00000,
-0.02908000000,76.00000,
-0.02907600000,76.00000,
-0.02907200000,74.00000,
-0.02906800000,74.00000,
-0.02906400000,74.00000,
-0.02906000000,74.00000,
-0.02905600000,74.00000,
-0.02905200000,74.00000,
-0.02904800000,74.00000,
-0.02904400000,72.00000,
-0.02904000000,70.00000,
-0.02903600000,70.00000,
-0.02903200000,72.00000,
-0.02902800000,70.00000,
-0.02902400000,70.00000,
-0.02902000000,70.00000,
-0.02901600000,70.00000,
-0.02901200000,70.00000,
-0.02900800000,70.00000,
-0.02900400000,70.00000,
-0.02900000000,70.00000,
-0.02899600000,68.00000,
-0.02899200000,70.00000,
-0.02898800000,68.00000,
-0.02898400000,68.00000,
-0.02898000000,68.00000,
-0.02897600000,66.00000,
-0.02897200000,66.00000,
-0.02896800000,66.00000,
-0.02896400000,66.00000,
-0.02896000000,66.00000,
-0.02895600000,66.00000,
-0.02895200000,66.00000,
-0.02894800000,66.00000,
-0.02894400000,66.00000,
-0.02894000000,64.00000,
-0.02893600000,64.00000,
-0.02893200000,66.00000,
-0.02892800000,64.00000,
-0.02892400000,64.00000,
-0.02892000000,64.00000,
-0.02891600000,62.00000,
-0.02891200000,62.00000,
-0.02890800000,62.00000,
-0.02890400000,62.00000,
-0.02890000000,62.00000,
-0.02889600000,62.00000,
-0.02889200000,62.00000,
-0.02888800000,60.00000,
-0.02888400000,62.00000,
-0.02888000000,62.00000,
